Division,District,2020/04/7,2020/04/8,2020/04/9,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15,2020/04/16,2020/04/17,2020/04/18,2020/04/19,2020/04/20,2020/04/21,2020/04/22
Chattogram,Cumilla,2,1,4,5,8,9,9,14,14,14,15,17,19,21,25,27
Chattogram,Feni,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3
Chattogram,Brahmanbaria,0,0,0,0,4,6,6,8,8,8,9,10,11,11,11,24
Chattogram,Rangamati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattogram,Noakhali,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,4
Chattogram,Chandpur,0,0,0,2,4,6,6,6,6,7,8,8,8,10,10,10
Chattogram,Lakshmipur,0,0,0,0,0,1,1,1,1,1,18,18,21,25,25,25
Chattogram,Chattogram,3,3,9,6,8,12,18,20,31,36,37,38,39,43,41,42
Chattogram,Coxsbazar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5
Chattogram,Khagrachhari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattogram,Bandarban,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4
Rajshahi,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Rajshahi,Pabna,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3
Rajshahi,Bogura,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5
Rajshahi,Rajshahi,0,0,0,0,0,0,2,3,4,4,4,4,4,5,9,9
Rajshahi,Natore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajshahi,Joypurhat,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4
Rajshahi,Chapainawabganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rajshahi,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Khulna,Jashore,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5
