Division,District,2020/04/7,2020/04/8,2020/04/9,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15
Chattogram,Cumilla,2,1,4,5,8,9,9,14,14
Chattogram,Feni,0,0,0,0,0,0,0,0,0
Chattogram,Brahmanbaria,0,0,0,0,4,6,6,8,8
Chattogram,Rangamati,0,0,0,0,0,0,0,0,0
Chattogram,Noakhali,0,0,0,0,0,0,0,0,1
Chattogram,Chandpur,0,0,0,2,4,6,6,6,6
Chattogram,Lakshmipur,0,0,0,0,0,1,1,1,1
Chattogram,Chattogram,3,3,9,6,8,12,18,20,31
Chattogram,Coxsbazar,1,1,1,1,1,1,1,1,1
Chattogram,Khagrachhari,0,0,0,0,0,0,0,0,0
Chattogram,Bandarban,0,0,0,0,0,0,0,0,0
Rajshahi,Sirajganj,0,0,0,0,0,0,0,0,0
Rajshahi,Pabna,0,0,0,0,0,0,0,0,0
Rajshahi,Bogura,0,0,0,0,0,0,0,0,0
Rajshahi,Rajshahi,0,0,0,0,0,0,2,3,4
Rajshahi,Natore,0,0,0,0,0,0,0,0,0
Rajshahi,Joypurhat,0,0,0,0,0,0,0,0,0
Rajshahi,Chapainawabganj,0,0,0,0,0,0,0,0,0
Rajshahi,Naogaon,0,0,0,0,0,0,0,0,0
Khulna,Jashore,0,0,0,0,0,0,0,0,0
Khulna,Satkhira,0,0,0,0,0,0,0,0,0
Khulna,Meherpur,0,0,0,0,0,0,0,0,0
Khulna,Narail,0,0,0,0,0,0,0,1,1
Khulna,Chuadanga,1,1,1,1,1,1,1,1,1
Khulna,Kushtia,0,0,0,0,0,0,0,0,0
Khulna,Magura,0,0,0,0,0,0,0,0,0
Khulna,Khulna,0,0,0,0,0,0,0,1,1
Khulna,Bagerhat,0,0,0,0,0,0,0,0,0
Khulna,Jhenaidah,0,0,0,0,0,0,0,0,0
Barishal,Jhalakathi,0,0,0,0,0,3,3,3,3
Barishal,Patuakhali,0,0,0,1,1,1,2,2,2
Barishal,Pirojpur,0,0,0,0,0,0,0,1,4
Barishal,Barishal,0,0,0,0,0,0,2,7,10
Barishal,Bhola,0,0,0,0,0,0,0,0,0
Barishal,Barguna,0,0,0,0,1,3,3,3,4
Sylhet,Sylhet,1,1,1,1,1,1,1,1,1
Sylhet,Moulvibazar,1,1,1,1,1,1,1,2,2
Sylhet,Habiganj,0,0,0,0,1,1,1,2,1
Sylhet,Sunamganj,0,0,0,0,0,0,1,1,1
Dhaka,Narsingdi,2,2,4,4,4,4,20,28,28
Dhaka,Gazipur,1,1,2,6,12,23,35,53,53
Dhaka,Shariatpur,1,1,1,1,1,1,1,5,5
Dhaka,Narayanganj,38,46,59,75,83,107,144,164,214
Dhaka,Tangail,0,2,2,2,2,2,7,7,9
Dhaka,Kishoreganj,0,1,1,7,10,10,10,17,17
Dhaka,Manikganj,3,3,3,3,5,5,5,5,5
Dhaka,Dhaka,90,128,209,253,270,335,407,484,546
Dhaka,Munshiganj,0,0,0,8,11,14,17,21,21
Dhaka,Rajbari,0,1,1,1,6,6,6,6,6
Dhaka,Madaripur,11,11,11,13,13,19,19,19,19
Dhaka,Gopalganj,0,0,0,2,2,3,3,9,9
Dhaka,Faridpur,0,0,0,0,0,0,0,2,2
Rangpur,Panchagarh,0,0,0,0,0,0,0,0,0
Rangpur,Dinajpur,0,0,0,0,0,0,0,0,7
Rangpur,Lalmonirhat,0,0,0,0,0,1,1,1,2
Rangpur,Nilphamari,0,1,1,2,2,3,3,4,6
Rangpur,Gaibandha,5,5,8,5,5,6,6,8,12
Rangpur,Thakurgaon,0,0,0,0,0,3,3,3,3
Rangpur,Rangpur,1,1,2,2,2,2,2,2,2
Rangpur,Kurigram,0,0,0,0,0,0,0,1,2
Mymensingh,Sherpur,1,1,2,2,2,2,2,3,3
Mymensingh,Mymensingh,0,0,4,5,5,5,5,7,7
Mymensingh,Jamalpur,2,2,3,3,3,6,6,9,12
Mymensingh,Netrokona,0,0,0,0,1,1,1,2,4
