Division,District,2020/04/27
Chattogram,Cumilla,1
Chattogram,Feni,0
Chattogram,Brahmanbaria,0
Chattogram,Rangamati,0
Chattogram,Noakhali,0
Chattogram,Chandpur,0
Chattogram,Lakshmipur,0
Chattogram,Chattogram,2
Chattogram,Coxsbazar,1
Chattogram,Khagrachhari,0
Chattogram,Bandarban,0
Rajshahi,Sirajganj,0
Rajshahi,Pabna,0
Rajshahi,Bogura,0
Rajshahi,Rajshahi,0
Rajshahi,Natore,0
Rajshahi,Joypurhat,0
Rajshahi,Chapainawabganj,0
Rajshahi,Naogaon,0
Khulna,Jessore,0
Khulna,Satkhira,0
Khulna,Meherpur,0
Khulna,Narail,0
Khulna,Chuadanga,1
Khulna,Kushtia,0
Khulna,Magura,0
Khulna,Khulna,0
Khulna,Bagerhat,0
Khulna,Jhenaidah,0
Barishal,Jhalakathi,0
Barishal,Patuakhali,0
Barishal,Pirojpur,0
Barishal,Barishal,0
Barishal,Bhola,0
Barishal,Barguna,0
Sylhet,Sylhet,0
Sylhet,Moulvibazar,0
Sylhet,Habiganj,0
Sylhet,Sunamganj,0
Dhaka,Narsingdi,1
Dhaka,Gazipur,1
Dhaka,Shariatpur,0
Dhaka,Narayanganj,25
Dhaka,Tangail,0
Dhaka,Kishoreganj,0
Dhaka,Manikganj,0
Dhaka,Dhaka,77
Dhaka,Munshiganj,0
Dhaka,Rajbari,0
Dhaka,Madaripur,9
Dhaka,Gopalganj,0
Dhaka,Faridpur,0
Rangpur,Panchagarh,0
Rangpur,Dinajpur,0
Rangpur,Lalmonirhat,0
Rangpur,Nilphamari,0
Rangpur,Gaibandha,4
Rangpur,Thakurgaon,0
Rangpur,Rangpur,0
Rangpur,Kurigram,0
Mymensingh,Sherpur,0
Mymensingh,Mymensingh,0
Mymensingh,Jamalpur,0
Mymensingh,Netrokona,0
